Weekly Chicago Regular All Formulations Retail Gasoline Prices
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EMM_EPMR_PTE_YORD_DPG&f=W
20:29:21 GMT-0600 (CST)
Source: U.S. Energy Information Administration
Week of,Weekly Chicago Regular All Formulations Retail Gasoline Prices Dollars per Gallon
11/30/2015,1.995
11/23/2015,2.029
11/16/2015,2.218
11/9/2015,2.345
11/2/2015,2.412
10/26/2015,2.428
10/19/2015,2.573
10/12/2015,2.712
10/5/2015,2.627
09/28/2015,2.685
09/21/2015,2.625
09/14/2015,2.629
09/7/2015,2.773
08/31/2015,2.945
08/24/2015,3.238
08/17/2015,3.366
08/10/2015,2.682
08/3/2015,2.677
07/27/2015,2.808
07/20/2015,2.937
07/13/2015,3.073
07/6/2015,3.09
06/29/2015,3.011
06/22/2015,3.108
06/15/2015,3.206
06/8/2015,3.087
06/1/2015,3.179
05/25/2015,3.048
05/18/2015,2.902
05/11/2015,2.813
05/4/2015,2.883
04/27/2015,2.781
04/20/2015,2.692
04/13/2015,2.621
04/6/2015,2.709
03/30/2015,2.846
03/23/2015,2.819
03/16/2015,2.405
03/9/2015,2.473
03/2/2015,2.534
02/23/2015,2.424
02/16/2015,2.457
02/9/2015,2.378
02/2/2015,2.263
01/26/2015,2.109
01/19/2015,2.099
01/12/2015,2.132
01/5/2015,2.173
12/29/2014,2.309
12/22/2014,2.468
12/15/2014,2.652
12/8/2014,2.789
12/1/2014,2.929
11/24/2014,2.982
11/17/2014,3.087
11/10/2014,3.103
11/3/2014,3.118
10/27/2014,3.221
10/20/2014,3.27
10/13/2014,3.409
10/6/2014,3.496
09/29/2014,3.585
09/22/2014,3.572
09/15/2014,3.67
09/8/2014,3.75
09/1/2014,3.68
08/25/2014,3.592
08/18/2014,3.68
08/11/2014,3.608
08/4/2014,3.638
07/28/2014,3.597
07/21/2014,3.695
07/14/2014,3.772
07/7/2014,3.872
06/30/2014,3.947
06/23/2014,4
06/16/2014,4.092
06/9/2014,4.015
06/2/2014,4.059
05/26/2014,3.917
05/19/2014,3.877
05/12/2014,3.867
05/5/2014,3.966
04/28/2014,4.031
04/21/2014,4.015
04/14/2014,4.074
04/7/2014,3.942
03/31/2014,3.887
03/24/2014,3.832
03/17/2014,3.868
03/10/2014,3.817
03/3/2014,3.808
02/24/2014,3.661
02/17/2014,3.583
02/10/2014,3.516
02/3/2014,3.418
01/27/2014,3.45
01/20/2014,3.45
01/13/2014,3.455
01/6/2014,3.473
12/30/2013,3.45
12/23/2013,3.396
12/16/2013,3.313
12/9/2013,3.272
12/2/2013,3.317
11/25/2013,3.396
11/18/2013,3.325
11/11/2013,3.248
11/4/2013,3.389
10/28/2013,3.413
10/21/2013,3.495
10/14/2013,3.501
10/7/2013,3.491
09/30/2013,3.565
09/23/2013,3.654
09/16/2013,3.71
09/9/2013,3.767
09/2/2013,3.813
08/26/2013,3.73
08/19/2013,3.692
08/12/2013,3.764
08/5/2013,3.905
07/29/2013,3.959
07/22/2013,4.085
07/15/2013,4.023
07/8/2013,3.757
07/1/2013,3.845
06/24/2013,4.017
06/17/2013,4.246
06/10/2013,4.361
06/3/2013,4.233
05/27/2013,4.087
05/20/2013,4.202
05/13/2013,4.175
05/6/2013,4.125
04/29/2013,4.075
04/22/2013,3.978
04/15/2013,3.763
04/8/2013,3.865
04/1/2013,3.991
03/25/2013,3.956
03/18/2013,3.877
03/11/2013,3.826
03/4/2013,3.931
02/25/2013,3.956
02/18/2013,4.002
02/11/2013,3.873
02/4/2013,3.78
01/28/2013,3.475
01/21/2013,3.416
01/14/2013,3.346
01/7/2013,3.305
12/31/2012,3.384
12/24/2012,3.313
12/17/2012,3.324
12/10/2012,3.478
12/3/2012,3.497
11/26/2012,3.577
11/19/2012,3.553
11/12/2012,3.563
11/5/2012,3.524
10/29/2012,3.581
10/22/2012,3.668
10/15/2012,3.868
10/8/2012,4.001
10/1/2012,4.011
09/24/2012,4.117
09/17/2012,4.231
09/10/2012,4.185
09/3/2012,4.251
08/27/2012,4.093
08/20/2012,4.17
08/13/2012,4.159
08/6/2012,4.179
07/30/2012,3.819
07/23/2012,3.705
07/16/2012,3.719
07/9/2012,3.727
07/2/2012,3.551
06/25/2012,3.659
06/18/2012,3.827
06/11/2012,3.93
06/4/2012,3.894
05/28/2012,3.975
05/21/2012,3.993
05/14/2012,4.064
05/7/2012,4.178
04/30/2012,4.146
04/23/2012,4.212
04/16/2012,4.187
04/9/2012,4.285
04/2/2012,4.415
03/26/2012,4.47
03/19/2012,4.282
03/12/2012,4.13
03/5/2012,4.01
02/27/2012,3.787
02/20/2012,3.524
02/13/2012,3.522
02/6/2012,3.568
01/30/2012,3.494
01/23/2012,3.532
01/16/2012,3.663
01/9/2012,3.611
01/2/2012,3.49
12/26/2011,3.386
12/19/2011,3.302
12/12/2011,3.388
12/5/2011,3.401
11/28/2011,3.45
11/21/2011,3.514
11/14/2011,3.596
11/7/2011,3.504
10/31/2011,3.547
10/24/2011,3.468
10/17/2011,3.509
10/10/2011,3.517
10/3/2011,3.57
09/26/2011,3.708
09/19/2011,3.826
09/12/2011,3.918
09/5/2011,3.982
08/29/2011,3.92
08/22/2011,3.812
08/15/2011,3.845
08/8/2011,3.923
08/1/2011,3.969
07/25/2011,3.948
07/18/2011,3.984
07/11/2011,3.939
07/4/2011,3.938
06/27/2011,3.867
06/20/2011,3.992
06/13/2011,4.114
06/6/2011,4.254
05/30/2011,4.141
05/23/2011,4.192
05/16/2011,4.343
05/9/2011,4.397
05/2/2011,4.352
04/25/2011,4.252
04/18/2011,4.185
04/11/2011,4.098
04/4/2011,3.933
03/28/2011,3.756
03/21/2011,3.714
03/14/2011,3.668
03/7/2011,3.678
02/28/2011,3.563
02/21/2011,3.326
02/14/2011,3.284
02/7/2011,3.31
01/31/2011,3.245
01/24/2011,3.227
01/17/2011,3.24
01/10/2011,3.274
01/3/2011,3.261
12/27/2010,3.246
12/20/2010,3.107
12/13/2010,3.054
12/6/2010,3.066
11/29/2010,2.981
11/22/2010,3.014
11/15/2010,3.076
11/8/2010,3.068
11/1/2010,2.895
10/25/2010,2.944
10/18/2010,2.989
10/11/2010,2.965
10/4/2010,2.916
09/27/2010,2.905
09/20/2010,2.977
09/13/2010,3.018
09/6/2010,2.86
08/30/2010,2.793
08/23/2010,2.833
08/16/2010,2.878
08/9/2010,2.925
08/2/2010,2.882
07/26/2010,2.933
07/19/2010,2.874
07/12/2010,2.852
07/5/2010,2.859
06/28/2010,2.921
06/21/2010,2.922
06/14/2010,2.863
06/7/2010,2.896
05/31/2010,2.917
05/24/2010,2.975
05/17/2010,3.068
05/10/2010,3.119
05/3/2010,3.126
04/26/2010,3.072
04/19/2010,3.085
04/12/2010,3.05
04/5/2010,3.04
03/29/2010,2.979
03/22/2010,3.022
03/15/2010,2.88
03/8/2010,2.823
03/1/2010,2.79
02/22/2010,2.794
02/15/2010,2.66
02/8/2010,2.713
02/1/2010,2.741
01/25/2010,2.799
01/18/2010,2.846
01/11/2010,2.884
01/4/2010,2.788
12/28/2009,2.731
12/21/2009,2.692
12/14/2009,2.672
12/7/2009,2.69
11/30/2009,2.708
11/23/2009,2.716
11/16/2009,2.731
11/9/2009,2.793
11/2/2009,2.832
10/26/2009,2.824
10/19/2009,2.66
10/12/2009,2.558
10/5/2009,2.498
09/28/2009,2.524
09/21/2009,2.595
09/14/2009,2.626
09/7/2009,2.63
08/31/2009,2.683
08/24/2009,2.706
08/17/2009,2.693
08/10/2009,2.735
08/3/2009,2.67
07/27/2009,2.616
07/20/2009,2.589
07/13/2009,2.659
07/6/2009,2.766
06/29/2009,2.822
06/22/2009,2.877
06/15/2009,2.866
06/8/2009,2.922
06/1/2009,2.746
05/25/2009,2.644
05/18/2009,2.569
05/11/2009,2.518
05/4/2009,2.256
04/27/2009,2.187
04/20/2009,2.14
04/13/2009,2.144
04/6/2009,2.1
03/30/2009,2.14
03/23/2009,2.057
03/16/2009,1.94
03/9/2009,2.032
03/2/2009,1.96
02/23/2009,1.916
02/16/2009,1.997
02/9/2009,1.918
02/2/2009,1.922
01/26/2009,1.949
01/19/2009,2.011
01/12/2009,1.966
01/5/2009,1.866
12/29/2008,1.687
12/22/2008,1.732
12/15/2008,1.725
12/8/2008,1.652
12/1/2008,1.777
11/24/2008,1.932
11/17/2008,2.198
11/10/2008,2.406
11/3/2008,2.628
10/27/2008,2.908
10/20/2008,3.201
10/13/2008,3.464
10/6/2008,3.752
09/29/2008,3.914
09/22/2008,4.054
09/15/2008,4.298
09/8/2008,3.908
09/1/2008,3.946
08/25/2008,4.021
08/18/2008,4.031
08/11/2008,4.004
08/4/2008,4.022
07/28/2008,4.084
07/21/2008,4.225
07/14/2008,4.3
07/7/2008,4.303
06/30/2008,4.201
06/23/2008,4.216
06/16/2008,4.181
06/9/2008,4.171
06/2/2008,4.176
05/26/2008,4.172
05/19/2008,4.019
05/12/2008,3.944
05/5/2008,3.785
04/28/2008,3.753
04/21/2008,3.692
04/14/2008,3.566
04/7/2008,3.486
03/31/2008,3.444
03/24/2008,3.366
03/17/2008,3.378
03/10/2008,3.272
03/3/2008,3.155
02/25/2008,3.167
02/18/2008,3.17
02/11/2008,3.051
02/4/2008,3.071
01/28/2008,3.056
01/21/2008,3.091
01/14/2008,3.162
01/7/2008,3.227
12/31/2007,3.137
12/24/2007,3.032
12/17/2007,3.052
12/10/2007,3.028
12/3/2007,3.089
11/26/2007,3.123
11/19/2007,3.139
11/12/2007,3.179
11/5/2007,3.13
10/29/2007,2.91
10/22/2007,2.857
10/15/2007,2.842
10/8/2007,2.902
10/1/2007,2.969
09/24/2007,3.054
09/17/2007,3.115
09/10/2007,3.21
09/3/2007,3.202
08/27/2007,3.031
08/20/2007,3.075
08/13/2007,2.993
08/6/2007,3.064
07/30/2007,3.137
07/23/2007,3.26
07/16/2007,3.384
07/9/2007,3.149
07/2/2007,3.161
06/25/2007,3.238
06/18/2007,3.338
06/11/2007,3.459
06/4/2007,3.565
05/28/2007,3.621
05/21/2007,3.532
05/14/2007,3.367
05/7/2007,3.319
04/30/2007,3.093
04/23/2007,2.933
04/16/2007,2.974
04/9/2007,2.86
04/2/2007,2.687
03/26/2007,2.575
03/19/2007,2.517
03/12/2007,2.502
03/5/2007,2.529
02/26/2007,2.462
02/19/2007,2.36
02/12/2007,2.282
02/5/2007,2.256
01/29/2007,2.161
01/22/2007,2.132
01/15/2007,2.226
01/8/2007,2.308
01/1/2007,2.344
12/25/2006,2.371
12/18/2006,2.33
12/11/2006,2.315
12/4/2006,2.332
11/27/2006,2.297
11/20/2006,2.274
11/13/2006,2.311
11/6/2006,2.276
10/30/2006,2.269
10/23/2006,2.228
10/16/2006,2.26
10/9/2006,2.33
10/2/2006,2.433
09/25/2006,2.552
09/18/2006,2.693
09/11/2006,2.825
09/4/2006,2.937
08/28/2006,3.079
08/21/2006,3.152
08/14/2006,3.21
08/7/2006,3.237
07/31/2006,3.231
07/24/2006,3.196
07/17/2006,3.209
07/10/2006,3.198
07/3/2006,3.124
06/26/2006,3.055
06/19/2006,3.003
06/12/2006,2.983
06/5/2006,2.963
05/29/2006,2.927
05/22/2006,2.933
05/15/2006,2.986
05/8/2006,2.913
05/1/2006,2.942
04/24/2006,2.966
04/17/2006,2.85
04/10/2006,2.747
