DATE,VALUE,Price
11/30/15,40.87,1.995
11/23/15,40.14,2.029
11/16/15,42.26,2.218
11/9/15,45.53,2.345
11/2/15,45.58,2.412
10/26/15,44.61,2.428
10/19/15,46.58,2.573
10/12/15,48.52,2.712
10/5/15,45.37,2.627
9/28/15,45.12,2.685
9/21/15,46,2.625
9/14/15,44.94,2.629
9/7/15,46.11,2.773
8/31/15,42.92,2.945
8/24/15,40.6,3.238
8/17/15,42.6,3.366
8/10/15,44.88,2.682
8/3/15,47.53,2.677
7/27/15,48.62,2.808
7/20/15,51.27,2.937
7/13/15,52.33,3.073
7/6/15,56.46,3.09
6/29/15,59.68,3.011
6/22/15,59.99,3.108
6/15/15,60.35,3.206
6/8/15,59.25,3.087
6/1/15,58.6,3.179
5/25/15,58.83,3.048
5/18/15,60.06,2.902
5/11/15,59.79,2.813
5/4/15,58.65,2.883
4/27/15,55.98,2.781
4/20/15,55.66,2.692
4/13/15,51.75,2.621
4/6/15,49.76,2.709
3/30/15,48.94,2.846
3/23/15,45.09,2.819
3/16/15,46.48,2.405
3/9/15,50.46,2.473
3/2/15,49.16,2.534
2/23/15,51.26,2.424
2/16/15,50.67,2.457
2/9/15,51.32,2.378
2/2/15,46.22,2.263
1/26/15,46.13,2.109
1/19/15,47.32,2.099
1/12/15,47.98,2.132
1/5/15,52.59,2.173
12/29/14,55.13,2.309
12/22/14,55.75,2.468
12/15/14,59.7,2.652
12/8/14,66.01,2.789
12/1/14,70.67,2.929
11/24/14,75.4,2.982
11/17/14,76.14,3.087
11/10/14,77.97,3.103
11/3/14,80.79,3.118
10/27/14,81.82,3.221
10/20/14,82.29,3.27
10/13/14,86.71,3.409
10/6/14,90.6,3.496
9/29/14,93.76,3.585
9/22/14,93.24,3.572
9/15/14,92.47,3.67
9/8/14,93.78,3.75
9/1/14,96.48,3.68
8/25/14,94.74,3.592
8/18/14,96.84,3.68
8/11/14,97.46,3.608
8/4/14,100.71,3.638
7/28/14,104.41,3.597
7/21/14,103.09,3.695
7/14/14,102.76,3.772
7/7/14,105.05,3.872
6/30/14,106.54,3.947
6/23/14,107.09,4
6/16/14,106.45,4.092
6/9/14,103.64,4.015
6/2/14,103.78,4.059
5/26/14,104.04,3.917
5/19/14,102.33,3.877
5/12/14,100.52,3.867
5/5/14,100.23,3.966
4/28/14,101.47,4.031
4/21/14,104.02,4.015
4/14/14,103.44,4.074
4/7/14,100.23,3.942
3/31/14,100.96,3.887
3/24/14,100.1,3.832
3/17/14,98.96,3.868
3/10/14,102.28,3.817
3/3/14,103.21,3.808
2/24/14,102.98,3.661
2/17/14,100.23,3.583
2/10/14,98.52,3.516
2/3/14,97.41,3.418
1/27/14,96.11,3.45
1/20/14,93.36,3.45
1/13/14,92.08,3.455
1/6/14,95.02,3.473
12/30/13,99.22,3.45
12/23/13,98.14,3.396
12/16/13,97.25,3.313
12/9/13,96.9,3.272
12/2/13,92.91,3.317
11/25/13,94.09,3.396
11/18/13,93.52,3.325
11/11/13,94.42,3.248
11/4/13,96.11,3.389
